Label,votesDem,percD,votesRep,percR,electoralRep,win,electoralDem
AL,729547,0.3436,1318255,0.6208,9,R,
AK,116454,0.3655,163387,0.5128,3,R,
AZ,1161167,0.4513,1252401,0.4867,11,R,
AR,380494,0.3365,684872,0.6057,6,R,
CA,8753788,0.6173,4483810,0.3162,,D,55
CO,1338870,0.4816,1202484,0.4325,,D,9
CT,897572,0.5457,673215,0.4093,,D,7
DE,235603,0.5309,185127,0.4172,,D,3
FL,4504975,0.4782,4617886,0.4902,29,R,
GA,1877963,0.4564,2089104,0.5077,16,R,
HI,266891,0.6222,128847,0.3003,,D,3
ID,189765,0.2749,409055,0.5926,4,R,
IL,3090729,0.5583,2146015,0.3876,,D,20
IN,1033126,0.3791,1557286,0.5682,11,R,
IA,653669,0.4174,800983,0.5115,6,R,
KS,427005,0.3605,671018,0.5665,6,R,
KY,628854,0.3268,1202971,0.6252,8,R,
LA,780154,0.3845,1178638,0.5809,8,R,
ME,357735,0.4783,335593,0.4487,,D,2
MD,1677928,0.6033,943169,0.3391,,D,10
MA,1995196,0.6001,1090893,0.3281,,D,11
MI,2268839,0.4727,2279543,0.475,16,R,
MN,1367716,0.4644,1322951,0.4492,,D,10
MS,485131,0.4011,700714,0.5794,6,R,
MO,1071068,0.3814,1594511,0.5677,10,R,
MT,177709,0.3575,279240,0.5617,3,R,
NE,284494,0.337,495961,0.5875,2,R,
NV,539260,0.4792,512058,0.455,,D,6
NH,348526,0.4698,345790,0.4661,,D,4
NJ,2148278,0.5499,1601933,0.41,,D,14
NM,385234,0.4826,319667,0.4004,,D,5
NY,4556124,0.5901,2819534,0.3652,,D,29
NC,2189316,0.4617,2362631,0.4983,15,R,
ND,93758,0.2723,216794,0.6296,3,R,
OH,2394164,0.4356,2841005,0.5169,18,R,
OK,420375,0.2893,949136,0.6532,7,R,
OR,1002106,0.5007,782403,0.3909,,D,7
PA,2926441,0.4746,2970733,0.4818,20,R,
RI,252525,0.5441,180543,0.389,,D,4
SC,855373,0.4067,1155389,0.5494,9,R,
SD,117458,0.3174,227721,0.6153,3,R,
TN,870695,0.3472,1522925,0.6072,11,R,
TX,3877868,0.4324,4685047,0.5223,36,R,
UT,310676,0.2746,515231,0.4554,6,R,
VT,178573,0.5668,95369,0.3027,,D,3
VA,1981473,0.4973,1769443,0.4441,,D,13
WA,1742718,0.5254,1221747,0.3683,,D,8
WV,188794,0.2643,489371,0.685,5,R,
WI,1382536,0.4645,1405284,0.4722,10,R,
WY,55973,0.2163,174419,0.674,3,R,
