Label, White,Black or African American, American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race
AL,0.702,0.273,0.012,0.016,0.001,0.014
AK,0.731,0.051,0.195,0.079,0.018,0.018
AZ,0.806,0.053,0.055,0.04,0.004,0.077
AR,0.798,0.163,0.017,0.017,0.003,0.025
CA,0.651,0.07,0.019,0.158,0.008,0.144
CO,0.873,0.051,0.02,0.04,0.003,0.049
CT,0.795,0.119,0.01,0.05,0.001,0.057
DE,0.716,0.236,0.01,0.043,0.002,0.025
DC,0.425,0.497,0.009,0.049,0.002,0.05
FL,0.78,0.174,0.008,0.033,0.002,0.03
GA,0.616,0.324,0.008,0.043,0.001,0.031
HI,0.427,0.033,0.023,0.565,0.262,0.024
ID,0.937,0.011,0.024,0.021,0.003,0.031
IL,0.741,0.153,0.007,0.058,0.001,0.064
IN,0.86,0.104,0.008,0.024,0.001,0.026
IA,0.928,0.043,0.008,0.026,0.001,0.015
KS,0.882,0.073,0.021,0.033,0.002,0.025
KY,0.894,0.092,0.007,0.017,0.001,0.011
LA,0.642,0.331,0.013,0.02,0.001,0.013
ME,0.967,0.018,0.017,0.016,0.001,0.003
MD,0.597,0.314,0.01,0.071,0.002,0.041
MA,0.819,0.089,0.007,0.069,0.001,0.047
MI,0.813,0.152,0.015,0.034,0.001,0.014
MN,0.868,0.069,0.019,0.053,0.001,0.019
MS,0.6,0.382,0.008,0.012,0.001,0.01
MO,0.847,0.127,0.013,0.023,0.002,0.014
MT,0.916,0.009,0.082,0.012,0.002,0.007
NE,0.901,0.057,0.016,0.027,0.002,0.022
NV,0.717,0.101,0.02,0.099,0.013,0.1
NH,0.954,0.019,0.008,0.03,0.001,0.007
NJ,0.701,0.148,0.007,0.1,0.001,0.07
NM,0.761,0.027,0.105,0.022,0.002,0.117
NY,0.666,0.17,0.01,0.09,0.001,0.095
NC,0.713,0.229,0.02,0.031,0.002,0.033
ND,0.906,0.026,0.065,0.017,0.002,0.01
OH,0.845,0.138,0.009,0.024,0.001,0.011
OK,0.799,0.09,0.133,0.026,0.002,0.031
OR,0.891,0.027,0.031,0.055,0.008,0.036
PA,0.833,0.123,0.007,0.036,0.001,0.023
RI,0.832,0.081,0.013,0.039,0.002,0.065
SC,0.69,0.285,0.009,0.018,0.001,0.018
SD,0.872,0.024,0.103,0.017,0.001,0.011
TN,0.797,0.178,0.01,0.02,0.001,0.016
TX,0.77,0.129,0.012,0.05,0.002,0.064
UT,0.897,0.016,0.017,0.032,0.014,0.053
VT,0.965,0.017,0.013,0.02,0.001,0.005
VA,0.716,0.208,0.01,0.073,0.002,0.027
WA,0.821,0.052,0.03,0.1,0.012,0.045
WV,0.952,0.043,0.01,0.01,0.001,0.004
WI,0.882,0.073,0.016,0.03,0.001,0.021
WY,0.937,0.017,0.036,0.014,0.002,0.022
PR,0.766,0.16,0.009,0.003,0.000,0.14
